,cities,cloudiness,country,humidity,lat,lng,temp,wind
399,coihaique,90.0,CL,93.0,-45.58,-72.07,37.4,2.24
400,porto murtinho,97.0,BR,91.0,-21.7,-57.88,55.52,10.63
401,flin flon,36.0,CA,76.0,54.77,-101.88,54.62,5.32
402,bongandanga,100.0,CD,97.0,1.51,21.07,70.46,1.99
403,shakawe,0.0,BW,36.0,-18.36,21.84,49.94,3.2
404,cap malheureux,75.0,MU,83.0,-19.98,57.61,75.2,16.11
405,itaituba,98.0,BR,82.0,-4.26,-55.99,76.22,1.74
406,kochki,1.0,RU,70.0,54.33,80.49,67.94,10.98
407,san jorge,100.0,SV,97.0,13.41,-88.34,72.44,0.49
408,ugoofaaru,88.0,MV,76.0,5.67,73.0,83.24,8.55
409,cairns,90.0,AU,57.0,-16.92,145.77,78.01,12.75
410,mikhaylovka,100.0,RU,90.0,52.96,103.29,52.28,5.59
411,huarmey,100.0,PE,86.0,-10.07,-78.15,62.72,15.68
412,saint anthony,1.0,US,45.0,43.97,-111.68,66.2,4.27
413,walvis bay,0.0,NA,76.0,-22.95,14.51,51.8,5.82
414,karasjok,75.0,NO,58.0,69.47,25.52,53.6,18.34
415,makakilo city,90.0,US,100.0,21.35,-158.09,78.01,15.28
416,airai,0.0,TL,39.0,-8.93,125.41,83.06,2.24
417,bilibino,0.0,RU,28.0,68.06,166.44,61.82,18.43
418,kieta,100.0,PG,75.0,-6.22,155.63,83.42,6.44
419,alyangula,57.0,AU,42.0,-13.85,136.42,80.6,12.75
420,cleveland,1.0,US,60.0,41.51,-81.69,73.99,8.05
421,plettenberg bay,0.0,ZA,81.0,-34.05,23.37,50.3,3.67
422,soyo,1.0,AO,79.0,-6.13,12.37,74.06,12.73
423,pilar,0.0,AR,70.0,-34.46,-58.91,46.99,4.7
424,jinchang,100.0,CN,77.0,38.52,102.19,57.32,3.06
425,danielskuil,0.0,ZA,26.0,-28.19,23.54,46.88,10.94
426,imeni poliny osipenko,100.0,RU,64.0,52.42,136.49,55.88,7.38
427,zavetnoye,63.0,RU,62.0,47.12,43.89,69.2,13.44
428,igarka,34.0,RU,38.0,67.47,86.57,50.84,7.7
429,mapiri,67.0,BO,87.0,-15.31,-68.22,48.32,1.63
430,mayo,90.0,CA,28.0,63.59,-135.9,73.4,9.17
431,idritsa,100.0,RU,86.0,56.33,28.9,60.38,4.16
432,kurilsk,98.0,RU,90.0,45.23,147.88,51.02,18.99
433,lorengau,20.0,PG,78.0,-2.02,147.27,83.42,7.54
434,salta,75.0,AR,86.0,-24.79,-65.41,42.8,2.24
435,praia da vitoria,40.0,PT,88.0,38.73,-27.07,64.99,13.8
436,sochi,40.0,RU,83.0,43.6,39.73,77.0,8.95
437,kuito,0.0,AO,46.0,-12.38,16.94,49.04,2.55
438,itoman,75.0,JP,88.0,26.12,127.67,82.4,20.8
439,dunedin,0.0,NZ,49.0,-45.87,170.5,54.0,5.01
440,balkhash,0.0,KZ,34.0,46.84,74.98,80.6,8.95
441,nemuro,20.0,JP,48.0,43.32,145.57,84.2,9.17
442,ternate,75.0,PH,63.0,14.29,120.72,91.4,11.41
443,greenwood,1.0,US,94.0,34.2,-82.16,73.99,4.97
444,cam ranh,20.0,VN,50.0,11.92,109.15,95.0,8.05
445,gazojak,13.0,TM,12.0,41.19,61.4,92.6,7.7
446,kahului,90.0,US,100.0,20.89,-156.47,87.8,10.29
447,haines junction,45.0,CA,50.0,60.75,-137.51,64.16,4.45
448,reconquista,33.0,AR,60.0,-29.14,-59.64,42.02,5.19
449,jining,7.0,CN,40.0,35.41,116.58,87.56,6.26
450,vardo,1.0,US,83.0,39.62,-77.74,73.0,4.36
451,poum,20.0,MK,77.0,41.28,20.71,64.4,6.93
452,boa vista,0.0,BR,88.0,2.82,-60.67,75.2,4.7
453,tabou,100.0,CI,95.0,4.42,-7.36,73.34,5.21
454,san patricio,100.0,PY,82.0,-26.98,-56.83,45.26,7.11
455,kutum,99.0,SD,54.0,14.2,24.66,75.14,1.41
456,mana,0.0,RS,100.0,43.52,20.24,64.4,1.12
457,yinchuan,100.0,CN,81.0,38.48,106.21,60.01,5.99
458,padang,34.0,ID,72.0,-0.92,100.36,82.52,4.41
459,broome,100.0,GB,100.0,52.47,1.45,57.99,8.05
460,altoona,40.0,US,93.0,40.52,-78.39,66.2,4.92
461,lincoln,1.0,US,69.0,40.8,-96.67,75.2,7.0
462,nuevo casas grandes,47.0,MX,19.0,30.42,-107.91,80.9,8.88
463,biak,96.0,ID,88.0,-0.91,122.88,69.02,5.3
464,adrar,0.0,DZ,6.0,27.87,-0.29,87.8,6.93
465,khash,0.0,IR,12.0,28.22,61.21,74.78,7.02
466,husavik,10.0,CA,62.0,50.56,-96.99,64.0,8.1
467,cabo rojo,59.0,PR,79.0,18.09,-67.15,82.0,17.18
468,wairoa,1.0,NZ,58.0,-39.04,177.43,57.0,3.44
469,bontang,12.0,ID,58.0,0.12,117.47,88.46,4.34
470,sialkot,0.0,PK,26.0,32.49,74.54,95.0,6.93
471,lompoc,90.0,US,82.0,34.64,-120.46,62.6,6.93
472,columbus,1.0,US,100.0,32.46,-84.99,80.01,9.78
473,high prairie,100.0,CA,90.0,55.43,-116.48,58.58,4.12
474,pitkyaranta,100.0,RU,91.0,61.57,31.48,49.76,4.12
475,harper,1.0,US,73.0,30.3,-99.24,73.0,15.99
476,winburg,0.0,ZA,63.0,-28.52,27.01,39.5,15.37
477,ifanadiana,37.0,MG,98.0,-21.3,47.64,56.24,2.68
478,qasigiannguit,100.0,GL,87.0,68.82,-51.19,42.8,5.82
479,bubaque,2.0,GW,79.0,11.28,-15.83,78.92,17.18
480,la palma,100.0,CO,95.0,5.36,-74.39,68.84,4.88
481,sao miguel do araguaia,0.0,BR,56.0,-13.28,-50.16,69.2,1.34
482,mackenzie,20.0,CA,77.0,55.34,-123.09,59.0,5.82
483,vaitape,14.0,PF,78.0,-16.52,-151.75,79.64,13.65
484,inhambane,40.0,MZ,88.0,-23.87,35.38,64.4,4.7
485,monte alegre,50.0,BR,97.0,-2.0,-54.07,72.98,3.0
486,togur,67.0,RU,62.0,58.36,82.83,71.72,7.92
487,yangjiang,16.0,CN,73.0,21.85,111.96,86.0,4.25
488,vangaindrano,14.0,MG,95.0,-23.35,47.6,60.02,3.78
489,kaeo,2.0,NZ,84.0,-35.1,173.78,57.0,5.99
490,requena,75.0,ES,83.0,39.49,-1.1,73.4,4.7
491,uyovu,100.0,TZ,56.0,-3.28,31.53,69.38,3.24
492,oranjestad,20.0,AW,78.0,12.52,-70.03,82.4,16.11
493,turbat,20.0,PK,78.0,26.0,63.05,82.7,3.76
494,road town,1.0,VG,78.0,18.42,-64.62,82.4,8.05
495,sumter,1.0,US,88.0,33.92,-80.34,78.8,3.94
496,flinders,75.0,AU,55.0,-34.58,150.85,63.0,5.82
497,ajdabiya,0.0,LY,86.0,30.75,20.22,74.96,14.0
498,carman,1.0,CA,68.0,49.51,-98.0,66.2,7.58
499,pueblo nuevo,4.0,MX,88.0,23.99,-106.96,75.99,1.52
500,barahona,36.0,DO,83.0,18.21,-71.1,74.78,0.6
501,ust-tarka,93.0,RU,89.0,55.56,75.71,67.58,11.54
502,altayskoye,67.0,RU,57.0,51.95,85.34,61.64,4.85
503,kyshtovka,69.0,RU,90.0,56.56,76.62,67.22,13.6
504,makariv,62.0,UA,72.0,50.46,29.81,71.01,0.98
505,bella vista,30.0,AR,66.0,-28.51,-59.05,42.2,4.21
506,mayumba,0.0,GA,79.0,-3.44,10.65,74.06,11.41
507,gazanjyk,0.0,TM,11.0,39.24,55.52,91.7,2.39
508,lazarev,61.0,RU,92.0,52.23,141.51,42.74,22.44
509,narrabri,0.0,AU,40.0,-30.33,149.78,68.0,17.22
510,lusambo,0.0,CD,48.0,-4.97,23.44,67.4,1.39
511,alghero,0.0,IT,100.0,40.56,8.32,78.01,1.12
512,axim,100.0,GH,88.0,4.87,-2.24,76.22,14.7
513,taraclia,1.0,UA,83.0,45.9,28.68,66.32,13.02
514,marystown,1.0,CA,88.0,47.17,-55.16,46.16,4.5
515,gizo,40.0,IL,94.0,31.8,34.94,78.8,3.36
516,honiara,20.0,SB,66.0,-9.43,159.96,89.6,11.41
517,turi,0.0,IT,73.0,40.92,17.02,79.0,4.7
518,roma,0.0,IT,69.0,41.89,12.48,75.99,3.36
519,puerto montt,75.0,CL,93.0,-41.47,-72.94,48.2,6.93
520,yulara,0.0,AU,17.0,-25.24,130.99,66.2,9.17
521,sovetskiy,3.0,RU,74.0,56.76,48.47,51.74,7.4
522,tessalit,0.0,ML,9.0,20.2,1.01,92.24,8.55
523,port hardy,75.0,CA,59.0,50.7,-127.42,60.8,12.75
524,kerrobert,40.0,CA,77.0,51.92,-109.14,59.0,12.75
525,ndago,88.0,UG,96.0,-0.97,29.98,61.46,1.21
526,yeniseysk,100.0,RU,59.0,58.45,92.17,74.06,7.74
527,mareeba,90.0,AU,57.0,-16.99,145.42,78.01,12.75
528,semey,0.0,KZ,37.0,50.41,80.25,71.6,6.71
529,valleyview,42.0,CA,87.0,55.07,-117.28,60.2,0.74
530,plateros,75.0,MX,63.0,23.23,-102.84,66.2,5.82
531,santo antonio do taua,0.0,BR,88.0,-1.15,-48.13,77.0,17.58
532,fortuna,20.0,ES,88.0,38.18,-1.13,73.4,4.7
533,leua,0.0,AO,52.0,-11.65,20.45,50.48,2.89
534,karratha,98.0,AU,16.0,-20.74,116.85,81.62,10.63
535,balabac,68.0,PH,63.0,7.99,117.06,87.92,6.38
536,moyale,73.0,ET,91.0,3.52,39.05,67.04,7.34
537,terrasini,0.0,IT,73.0,38.15,13.08,77.0,2.24
538,bozuyuk,0.0,TR,88.0,39.91,30.04,68.0,5.82
539,tyret pervaya,100.0,RU,98.0,53.67,102.31,51.38,8.88
540,wamba,98.0,CD,98.0,2.14,27.99,64.16,0.92
541,redlands,1.0,US,100.0,34.06,-117.19,68.0,5.82
542,abeche,20.0,TD,20.0,13.83,20.83,87.02,15.73
